Dates,SPX Index,LBUSTRUU Index
8/2/2001,2026.75,774.69
8/3/2001,2015.89,774.05
8/6/2001,1991.77,774.81
8/7/2001,1998.7,774.97
8/8/2001,1962.63,779.05
8/9/2001,1962.85,778.07
8/10/2001,1974.59,779.6
8/13/2001,1976.78,780.71
8/14/2001,1968.88,780.35
8/15/2001,1954.1,779.46
8/16/2001,1960.51,780.78
8/17/2001,1926.3,783.65
8/20/2001,1942.76,781.61
8/21/2001,1918.09,782.63
8/22/2001,1932.28,782.72
8/23/2001,1926.69,784.09
8/24/2001,1966.56,783.13
8/27/2001,1956.59,782.85
8/28/2001,1925.75,785.98
8/29/2001,1903.55,788.49
8/30/2001,1869.66,788.54
8/31/2001,1877.62,788.05
9/3/2001,#N/A,#N/A
9/4/2001,1876.52,782.12
9/5/2001,1874.82,783.12
9/6/2001,1830.68,787.09
9/7/2001,1794.71,789.26
9/10/2001,1806.53,788.11
9/11/2001,#N/A,#N/A
9/12/2001,#N/A,#N/A
9/13/2001,#N/A,#N/A
9/14/2001,#N/A,795.55
9/17/2001,1713.3,793.72
9/18/2001,1702.8,790.99
9/19/2001,1673.85,793.12
9/20/2001,1618.77,791.42
9/21/2001,1586.06,792.75
9/24/2001,1651.79,792.6
9/25/2001,1667.21,793.97
9/26/2001,1658.64,796.57
9/27/2001,1678.88,799.22
9/28/2001,1717.9,798.4
10/1/2001,1713.73,799.62
10/2/2001,1736.04,801.77
10/3/2001,1773,803.04
10/4/2001,1768.38,803.09
10/5/2001,1771.86,803.25
10/8/2001,1756.24,#N/A
10/9/2001,1746.41,801.03
10/10/2001,1788.84,801.42
10/11/2001,1817.68,799.08
10/12/2001,1807.6,799.63
10/15/2001,1804.68,802.24
10/16/2001,1817.9,804.13
10/17/2001,1782.29,804.8
10/18/2001,1767.51,805.18
10/19/2001,1776.02,803.92
10/22/2001,1804.72,804.23
10/23/2001,1795.77,803.63
10/24/2001,1796.53,806.11
10/25/2001,1822.56,807.69
10/26/2001,1830.46,807.9
10/29/2001,1784.62,809.75
10/30/2001,1752.36,811.61
10/31/2001,1752.54,817.2
11/1/2001,1795.27,817.96
11/2/2001,1800.72,813.37
11/5/2001,1828.12,816.15
11/6/2001,1856.14,818.19
11/7/2001,1851.45,821.59
11/8/2001,1856.34,818.62
11/9/2001,1859.47,817.54
11/12/2001,1856,#N/A
11/13/2001,1892.61,816.01
11/14/2001,1896.79,812.05
11/15/2001,1898.6,803.96
11/16/2001,1892.48,798.74
11/19/2001,1914.22,804.7
11/20/2001,1899.6,801.1
11/21/2001,1889.81,797.24
11/22/2001,#N/A,#N/A
11/23/2001,1913.13,795.78
11/26/2001,1925.53,795.89
11/27/2001,1911.71,798.09
11/28/2001,1875.34,797.76
11/29/2001,1895.97,803.84
11/30/2001,1894.65,804.55
12/3/2001,1877.95,805.74
12/4/2001,1904.03,808.16
12/5/2001,1949.45,799.55
12/6/2001,1943.83,795.92
12/7/2001,1928.44,791.16
12/10/2001,1896.28,792.31
12/11/2001,1890.73,794.67
12/12/2001,1891.58,798.42
12/13/2001,1860.67,794.45
12/14/2001,1867.18,791.37
12/17/2001,1886.97,788.62
12/18/2001,1902,792.82
12/19/2001,1913.73,796.13
12/20/2001,1897.13,795.6
12/21/2001,1905.86,795.27
12/24/2001,1905.44,793.77
12/25/2001,#N/A,#N/A
12/26/2001,1913.72,792.22
12/27/2001,1927.93,795.27
12/28/2001,1934.8,794.76
12/31/2001,1912.13,798.81
1/1/2002,#N/A,#N/A
1/2/2002,1923.97,794.82
1/3/2002,1942.58,796.9
1/4/2002,1955.27,796.62
1/7/2002,1941.92,801.34
1/8/2002,1935.12,801.36
1/9/2002,1925.45,802.18
1/10/2002,1927.96,806.49
1/11/2002,1908.85,810.19
1/14/2002,1896.25,810.31
1/15/2002,1909.89,811.3
1/16/2002,1877.4,810.61
1/17/2002,1897.26,806.85
1/18/2002,1877.45,808.7
1/21/2002,#N/A,#N/A
1/22/2002,1862.95,808.73
1/23/2002,1878.54,805.38
1/24/2002,1885.51,804.45
1/25/2002,1887.48,803.9
1/28/2002,1887.12,804.52
1/29/2002,1830.42,808.08
1/30/2002,1853.36,808.18
1/31/2002,1882.78,806.08
2/1/2002,1868.73,807.86
2/4/2002,1820.05,810.77
2/5/2002,1812.35,809.76
2/6/2002,1801.13,808.87
2/7/2002,1795.65,808.25
2/8/2002,1823.83,810.88
2/11/2002,1851.51,810.6
2/12/2002,1843.73,808.73
2/13/2002,1863.72,808.18
2/14/2002,1860.31,809.64
2/15/2002,1838.79,812.93
2/18/2002,#N/A,#N/A
2/19/2002,1802.23,812.53
2/20/2002,1828.07,812.57
2/21/2002,1798.21,813.22
2/22/2002,1813.83,814.69
2/25/2002,1848.25,814.26
2/26/2002,1848.31,812.3
2/27/2002,1849.99,816.03
2/28/2002,1844.5,814.86
3/1/2002,1888.54,811.02
3/4/2002,1927.35,810.54
3/5/2002,1913.82,810.91
3/6/2002,1943.44,810.09
3/7/2002,1934.33,804.28
3/8/2002,1946.23,800.76
3/11/2002,1953.19,800.81
3/12/2002,1948.52,801.43
3/13/2002,1928.85,803.01
3/14/2002,1927.04,797.76
3/15/2002,1950.11,798.93
3/18/2002,1949.07,800.81
3/19/2002,1957.42,800.48
3/20/2002,1925.09,798.05
3/21/2002,1928.2,798.61
3/22/2002,1919.61,798.09
3/25/2002,1890.02,798.06
3/26/2002,1901.95,801
3/27/2002,1912.69,801.68
3/28/2002,1917.63,799.64
3/29/2002,#N/A,799.64
4/1/2002,1916.15,799.15
4/2/2002,1898.96,802.68
4/3/2002,1879.31,805.85
4/4/2002,1881.01,805.94
4/5/2002,1874.69,808.59
4/8/2002,1879.67,807.75
4/9/2002,1866.59,808.87
4/10/2002,1888.94,808.78
4/11/2002,1841.93,809.29
4/12/2002,1854.82,810.91
4/15/2002,1839.94,813.06
4/16/2002,1885.37,812.16
4/17/2002,1881.45,811.39
4/18/2002,1878.66,812.33
4/19/2002,1879.9,813.03
4/22/2002,1849.39,813.84
4/23/2002,1837.3,813.64
4/24/2002,1823.56,816.75
4/25/2002,1820.65,816.99
4/26/2002,1794.12,818.02
4/29/2002,1775.1,816.75
4/30/2002,1795.28,817.09
5/1/2002,1812.23,817.68
5/2/2002,1809.14,816.4
5/3/2002,1789.6,818.53
5/6/2002,1753.08,818.55
5/7/2002,1747.51,818.92
5/8/2002,1817.06,814
5/9/2002,1789.54,815.63
5/10/2002,1757.83,818.19
5/13/2002,1792.54,815.16
5/14/2002,1832.6,812.27
5/15/2002,1822.27,813.67
5/16/2002,1834.95,816.64
5/17/2002,1850.17,814.38
5/20/2002,1824.24,816.97
5/21/2002,1803.12,819.12
5/22/2002,1814.06,821.03
5/23/2002,1833.57,819.71
5/24/2002,1810.21,820.17
5/27/2002,#N/A,#N/A
5/28/2002,1793.9,821.09
5/29/2002,1782.01,823.67
5/30/2002,1776.94,825.23
5/31/2002,1781.31,824.88
6/3/2002,1734.87,825.35
6/4/2002,1734.9,826.48
6/5/2002,1751.8,825.19
6/6/2002,1715.29,826.71
6/7/2002,1712.43,824.45
6/10/2002,1718.12,825.39
6/11/2002,1687.91,827.73
6/12/2002,1699.95,828.95
6/13/2002,1681.12,830.43
6/14/2002,1677.12,834.38
6/17/2002,1728.14,832.95
6/18/2002,1729.89,833.05
6/19/2002,1699.72,837.35
6/20/2002,1675.58,833.66
6/21/2002,1645.32,835.81
6/24/2002,1651.65,833.1
6/25/2002,1622.39,833.48
6/26/2002,1618.69,837.17
6/27/2002,1648.92,833.27
6/28/2002,1647.46,832.88
7/1/2002,1610.1,833.47
7/2/2002,1574.16,836
7/3/2002,1584.64,836.06
7/4/2002,#N/A,#N/A
7/5/2002,1646.55,831.88
7/8/2002,1625.71,834.37
7/9/2002,1583.2,837.93
7/10/2002,1526.11,841.86
7/11/2002,1538.38,842.03
7/12/2002,1527.82,842.9
7/15/2002,1521.71,841.54
7/16/2002,1491.9,837.9
7/17/2002,1500.85,840.16
7/18/2002,1457.63,842.35
7/19/2002,1397.91,843.89
7/22/2002,1348.59,846.69
7/23/2002,1309.46,847.45
7/24/2002,1390.27,846.57
7/25/2002,1381.9,847.05
7/26/2002,1406.93,845.95
7/29/2002,1488.58,840.55
7/30/2002,1495.42,839.92
7/31/2002,1511.25,844.14
8/1/2002,1463.86,846.9
8/2/2002,1427.78,851.34
8/5/2002,1375.43,851.23
8/6/2002,1419.58,846.96
8/7/2002,1450.23,850.19
8/8/2002,1501,847.79
8/9/2002,1507,851.87
8/12/2002,1498.48,853.09
8/13/2002,1464.01,856.68
8/14/2002,1526.99,857.73
8/15/2002,1545.98,854.01
8/16/2002,1543.55,849.48
8/19/2002,1582.42,850.81
8/20/2002,1558.9,856.5
8/21/2002,1580.16,856.35
8/22/2002,1603.82,853.7
8/23/2002,1565.2,856.35
8/26/2002,1577.75,857.38
8/27/2002,1554.53,855
8/28/2002,1524.8,857.19
8/29/2002,1524.82,859.22
8/30/2002,1521.79,860.08
9/2/2002,#N/A,#N/A
9/3/2002,1454.46,865.28
9/4/2002,1482.25,866.02
9/5/2002,1457.06,867.5
9/6/2002,1483.31,862.8
9/9/2002,1499.35,862.43
9/10/2002,1511.08,864.54
9/11/2002,1511.11,862.54
9/12/2002,1471.54,866.28
9/13/2002,1476.7,868.99
9/16/2002,1479.03,870.25
9/17/2002,1447.89,870.73
9/18/2002,1440.83,870.54
9/19/2002,1394.53,872.86
9/20/2002,1398.21,872.12
9/23/2002,1377.5,874.08
9/24/2002,1351.98,873.77
9/25/2002,1388.44,870.71
9/26/2002,1415.84,870.88
9/27/2002,1366.97,873.22
9/30/2002,1345.53,875.63
10/1/2002,1403.39,873.01
10/2/2002,1368.26,873.62
10/3/2002,1352.4,873.68
10/4/2002,1319.82,873.21
10/7/2002,1292.69,874
10/8/2002,1316.78,872.3
10/9/2002,1278.25,873.93
10/10/2002,1326.59,871.67
10/11/2002,1382.31,868.54
