,Dates,SPX Index,LBUSTRUU Index,SPGSCI Index,RMSG Index,LP01TREU Index,TWSE Index,IBOV Index,SASEIDX Index,NKY Index,MXDK Index,SMI Index,VNINDEX Index,SPX Index Daily Returns,LBUSTRUU Index Daily Returns,SPGSCI Index Daily Returns,RMSG Index Daily Returns,LP01TREU Index Daily Returns,TWSE Index Daily Returns,IBOV Index Daily Returns,SASEIDX Index Daily Returns,NKY Index Daily Returns,MXDK Index Daily Returns,SMI Index Daily Returns,VNINDEX Index Daily Returns
3981,2015-11-02,4767.11,1622.89,41.84,784.39,255.09,2422.98,523.97,417.56,625.61,7568.58,1397.93,420.5,0.012127414283257476,-0.0011632344071196288,-0.026523964634713626,0.02383407515695768,0.0007846522029111291,0.004718858848897112,0.0,-0.009206529992407009,-0.024405077503664607,0.009084800358378997,0.00034348277219220513,-0.008652191338378468
3982,2015-11-03,4780.47,1620.3,44.84,775.47,256.36,2460.3,573.36,409.39,625.61,7609.98,1390.58,428.42,0.0028025365473003383,-0.0015959183924973974,0.07170172084130022,-0.011371894083300305,0.004978634991571695,0.0154025208627393,0.09426112181995139,-0.019566050387968215,0.0,0.005469982480200919,-0.005257773994406079,0.018834720570749086
3983,2015-11-04,4764.84,1619.03,41.65,771.65,257.57,2502.57,560.15,415.32,629.93,7588.14,1388.04,427.54,-0.0032695529937433188,-0.0007838054681231776,-0.07114183764495996,-0.004926044850219968,0.004719925105320488,0.01718083160590167,-0.023039626063904084,0.014484965436381003,0.006905260465785323,-0.002869915558253666,-0.0018265759611096888,-0.0020540591008822995
3984,2015-11-05,4760.34,1618.17,39.82,775.32,256.9,2500.89,570.24,409.88,635.85,7689.75,1390.52,431.38,-0.0009444178608305487,-0.0005311822511009368,-0.043937575030011944,0.004756042247132886,-0.002601234615832615,-0.0006713098934296724,0.018013032223511694,-0.013098333814889673,0.00939786960455935,0.013390633277720276,0.0017866920261664365,0.008981615755250916
3985,2015-11-06,4759.2,1611.02,39.14,748.39,256.63,2435.25,553.65,409.88,633.28,7655.05,1374.51,427.9,-0.00023947869269846933,-0.0044185715963094285,-0.01707684580612756,-0.03473404529742563,-0.0010509926041259998,-0.026246656190396123,-0.029093013468013518,0.0,-0.004041833765825342,-0.004512500406385067,-0.011513678336162014,-0.008067133385877945
3986,2015-11-09,4712.48,1610.18,38.08,734.0,256.87,2411.61,541.01,413.81,647.88,7587.91,1363.78,424.94,-0.009816775928727539,-0.0005214087969112047,-0.02708226877874298,-0.01922794265022243,0.0009351985348555747,-0.009707422235910035,-0.02283030795629004,0.009588172147945828,0.02305457301667513,-0.008770680792418162,-0.0078064182872441545,-0.006917504089740567
3987,2015-11-10,4721.0,1611.95,38.3,743.35,257.32,2383.34,541.27,411.76,648.97,7537.18,1352.97,420.85,0.0018079652327438467,0.0010992559838030047,0.005777310924369727,0.012738419618528729,0.0017518589169618348,-0.011722459269948304,0.0004805826139997471,-0.004953964379787901,0.001682410322899397,-0.006685635438480331,-0.007926498408834193,-0.009624888219513239
3988,2015-11-11,4705.44,1611.95,36.93,744.56,257.63,2353.13,555.26,422.09,650.83,7648.29,1361.0,419.7,-0.003295911883075653,0.0,-0.03577023498694509,0.001627766193583069,0.0012047256334524192,-0.01267548901961113,0.025846619986328534,0.0250874295706236,0.0028660800961524124,0.014741587702562509,0.005935090948062438,-0.00273256504692887
3989,2015-11-12,4639.08,1611.35,35.21,738.54,257.31,2354.31,552.41,418.85,652.23,7652.7,1355.82,421.27,-0.014102825665612495,-0.0003722199820094252,-0.046574600595721605,-0.008085312130654332,-0.0012420913713464543,0.0005014597578543167,-0.005132730612686043,-0.007676088038096052,0.0021510993654256794,0.0005765994751767423,-0.003806024981631184,0.0037407672146771986
3990,2015-11-13,4586.01,1614.26,33.55,728.63,257.2,2317.55,538.35,418.85,647.53,7517.22,1333.57,425.82,-0.011439768229907554,0.001805939119372102,-0.04714569724510098,-0.013418365965282786,-0.0004274999028409665,-0.015613916604015565,-0.0254521098459477,0.0,-0.0072060469466292965,-0.01770355560782466,-0.016410732988154764,0.010800674151969059
3991,2015-11-16,4656.68,1614.77,33.48,737.85,257.38,2309.05,543.78,409.86,638.1,7491.42,1329.42,423.42,0.0154099097036422,0.00031593423612052973,-0.002086438152011927,0.012653884687701566,0.0006998444790047298,-0.0036676662855170683,0.010086375034828565,-0.021463531097051458,-0.014563031828641049,-0.003432119852817994,-0.003111947629295675,-0.0056361843032266545
